nombre,apellido,rut,curso,codigo,fecha
Alejandro,Fuentes Rojas,11111111-1,Matemáticas,MAT001,17 de septiembre de 2025
María,Contreras Silva,11111112-K,Física,FIS002,17 de septiembre de 2025
Camila,Muñoz Herrera,11111113-2,Biología,BIO003,17 de septiembre de 2025
Javier,García López,11111114-0,Matemáticas,MAT004,17 de septiembre de 2025
Daniela,Pérez Soto,11111115-9,Física,FIS005,17 de septiembre de 2025
Felipe,Ramírez Castillo,11111116-7,Biología,BIO006,17 de septiembre de 2025
Constanza,Hernández Vega,11111117-5,Matemáticas,MAT007,17 de septiembre de 2025
Sebastián,Torres Morales,11111118-3,Física,FIS008,17 de septiembre de 2025
Valentina,Vargas Fuentes,11111119-1,Biología,BIO009,17 de septiembre de 2025
Francisco,Campos Reyes,11111120-K,Matemáticas,MAT010,17 de septiembre de 2025
Antonia,Cortés Palma,11111121-8,Física,FIS011,17 de septiembre de 2025
Diego,Silva Pinto,11111122-6,Biología,BIO012,17 de septiembre de 2025
Isidora,Morales Pizarro,11111123-4,Matemáticas,MAT013,17 de septiembre de 2025
Tomás,Vega Carrasco,11111124-2,Física,FIS014,17 de septiembre de 2025
Josefa,Castillo Orellana,11111125-0,Biología,BIO015,17 de septiembre de 2025
Matías,Reyes Araya,11111126-9,Matemáticas,MAT016,17 de septiembre de 2025
Trinidad,Palma Sáez,11111127-7,Física,FIS017,17 de septiembre de 2025
Benjamín,Pinto Salazar,11111128-5,Biología,BIO018,17 de septiembre de 2025
Renata,Pizarro Cortés,11111129-3,Matemáticas,MAT019,17 de septiembre de 2025
Ignacio,Carrasco Silva,11111130-1,Física,FIS020,17 de septiembre de 2025
Florencia,Orellana Campos,11111131-K,Biología,BIO021,17 de septiembre de 2025
Vicente,Araya Contreras,11111132-8,Matemáticas,MAT022,17 de septiembre de 2025
Josefina,Sáez Muñoz,11111133-6,Física,FIS023,17 de septiembre de 2025
Cristóbal,Salazar Fuentes,11111134-4,Biología,BIO024,17 de septiembre de 2025
Emilia,Cortés Rojas,11111135-2,Matemáticas,MAT025,17 de septiembre de 2025
Agustín,Silva Herrera,11111136-0,Física,FIS026,17 de septiembre de 2025
Amanda,Morales López,11111137-9,Biología,BIO027,17 de septiembre de 2025
Lucas,Vega Soto,11111138-7,Matemáticas,MAT028,17 de septiembre de 2025
Gabriela,Castillo Castillo,11111139-5,Física,FIS029,17 de septiembre de 2025
Martín,Reyes Ramírez,11111140-3,Biología,BIO030,17 de septiembre de 2025
Catalina,Palma Hernández,11111141-1,Matemáticas,MAT031,17 de septiembre de 2025
Alonso,Pinto Torres,11111142-K,Física,FIS032,17 de septiembre de 2025
Maite,Pizarro Vargas,11111143-8,Biología,BIO033,17 de septiembre de 2025
Pedro,Carrasco Campos,11111144-6,Matemáticas,MAT034,17 de septiembre de 2025
Agustina,Orellana Reyes,11111145-4,Física,FIS035,17 de septiembre de 2025
Emilio,Araya Palma,11111146-2,Biología,BIO036,17 de septiembre de 2025
Laura,Sáez Cortés,11111147-0,Matemáticas,MAT037,17 de septiembre de 2025
Samuel,Salazar Silva,11111148-9,Física,FIS038,17 de septiembre de 2025
Paula,Cortés Morales,11111149-7,Biología,BIO039,17 de septiembre de 2025
Andrés,Silva Vega,11111150-5,Matemáticas,MAT040,17 de septiembre de 2025
Micaela,Morales Castillo,11111151-3,Física,FIS041,17 de septiembre de 2025
Juan,Vega Ramírez,11111152-1,Biología,BIO042,17 de septiembre de 2025
Fernanda,Castillo Hernández,11111153-K,Matemáticas,MAT043,17 de septiembre de 2025
Rodrigo,Reyes Torres,11111154-8,Física,FIS044,17 de septiembre de 2025
Paz,Palma Vargas,11111155-6,Biología,BIO045,17 de septiembre de 2025
Vicente,Pinto Campos,11111156-4,Matemáticas,MAT046,17 de septiembre de 2025
Daniel,Pizarro Reyes,11111157-2,Física,FIS047,17 de septiembre de 2025
Sofía,Carrasco Palma,11111158-0,Biología,BIO048,17 de septiembre de 2025
Gaspar,Orellana Sáez,11111159-9,Matemáticas,MAT049,17 de septiembre de 2025
Elena,Araya Salazar,11111160-7,Física,FIS050,17 de septiembre de 2025
Raimundo,Sáez Cortés,11111161-5,Biología,BIO051,17 de septiembre de 2025
Josefa,Salazar Silva,11111162-3,Matemáticas,MAT052,17 de septiembre de 2025
Bastián,Cortés Morales,11111163-1,Física,FIS053,17 de septiembre de 2025
Mariana,Silva Vega,11111164-K,Biología,BIO054,17 de septiembre de 2025
Thiago,Morales Castillo,11111165-8,Matemáticas,MAT055,17 de septiembre de 2025
Ignacia,Vega Ramírez,11111166-6,Física,FIS056,17 de septiembre de 2025
Pablo,Castillo Hernández,11111167-4,Biología,BIO057,17 de septiembre de 2025
Valeria,Reyes Torres,11111168-2,Matemáticas,MAT058,17 de septiembre de 2025
Hernán,Palma Vargas,11111169-0,Física,FIS059,17 de septiembre de 2025
Loreto,Pinto Campos,11111170-9,Biología,BIO060,17 de septiembre de 2025
Nicolás,Pizarro Reyes,11111171-7,Matemáticas,MAT061,17 de septiembre de 2025
Amparo,Carrasco Palma,11111172-5,Física,FIS062,17 de septiembre de 2025
Tadeo,Orellana Sáez,11111173-3,Biología,BIO063,17 de septiembre de 2025
Emilia,Araya Salazar,11111174-1,Matemáticas,MAT064,17 de septiembre de 2025
Benjamín,Sáez Cortés,11111175-K,Física,FIS065,17 de septiembre de 2025
Lucía,Salazar Silva,11111176-8,Biología,BIO066,17 de septiembre de 2025
Ignacio,Cortés Morales,11111177-6,Matemáticas,MAT067,17 de septiembre de 2025
Josefina,Silva Vega,11111178-4,Física,FIS068,17 de septiembre de 2025
Cristóbal,Morales Castillo,11111179-2,Biología,BIO069,17 de septiembre de 2025
Amanda,Vega Ramírez,11111180-0,Matemáticas,MAT070,17 de septiembre de 2025
Jorge,Castillo Hernández,11111181-9,Física,FIS071,17 de septiembre de 2025
Florencia,Reyes Torres,11111182-7,Biología,BIO072,17 de septiembre de 2025
Vicente,Palma Vargas,11111183-5,Matemáticas,MAT073,17 de septiembre de 2025
Agustín,Pinto Campos,11111184-3,Física,FIS074,17 de septiembre de 2025
Renata,Pizarro Reyes,11111185-1,Biología,BIO075,17 de septiembre de 2025
Matías,Carrasco Palma,11111186-K,Matemáticas,MAT076,17 de septiembre de 2025
Isidora,Orellana Sáez,11111187-8,Física,FIS077,17 de septiembre de 2025
Tomás,Araya Salazar,11111188-6,Biología,BIO078,17 de septiembre de 2025
Antonia,Sáez Cortés,11111189-4,Matemáticas,MAT079,17 de septiembre de 2025
Diego,Salazar Silva,11111190-2,Física,FIS080,17 de septiembre de 2025
Constanza,Cortés Morales,11111191-0,Biología,BIO081,17 de septiembre de 2025
Sebastián,Silva Vega,11111192-9,Matemáticas,MAT082,17 de septiembre de 2025
Valentina,Morales Castillo,11111193-7,Física,FIS083,17 de septiembre de 2025
Francisco,Vega Ramírez,11111194-5,Biología,BIO084,17 de septiembre de 2025
Gabriela,Castillo Hernández,11111195-3,Matemáticas,MAT085,17 de septiembre de 2025
Martín,Reyes Torres,11111196-1,Física,FIS086,17 de septiembre de 2025
Catalina,Palma Vargas,11111197-K,Biología,BIO087,17 de septiembre de 2025
Alonso,Pinto Campos,11111198-8,Matemáticas,MAT088,17 de septiembre de 2025
Maite,Pizarro Reyes,11111199-6,Física,FIS089,17 de septiembre de 2025
Pedro,Carrasco Palma,11111200-4,Biología,BIO090,17 de septiembre de 2025
Agustina,Orellana Sáez,11111201-2,Matemáticas,MAT091,17 de septiembre de 2025
Emilio,Araya Salazar,11111202-0,Física,FIS092,17 de septiembre de 2025
Laura,Sáez Cortés,11111203-9,Biología,BIO093,17 de septiembre de 2025
Samuel,Salazar Silva,11111204-7,Matemáticas,MAT094,17 de septiembre de 2025
Paula,Cortés Morales,11111205-5,Física,FIS095,17 de septiembre de 2025
Andrés,Silva Vega,11111206-3,Biología,BIO096,17 de septiembre de 2025
Micaela,Morales Castillo,11111207-1,Matemáticas,MAT097,17 de septiembre de 2025
Juan,Vega Ramírez,11111208-K,Física,FIS098,17 de septiembre de 2025
Fernanda,Castillo Hernández,11111209-8,Biología,BIO099,17 de septiembre de 2025
Rodrigo,Reyes Torres,11111210-6,Matemáticas,MAT100,17 de septiembre de 2025
Paz,Palma Vargas,11111211-4,Física,FIS101,17 de septiembre de 2025
Vicente,Pinto Campos,11111212-2,Biología,BIO102,17 de septiembre de 2025
Daniel,Pizarro Reyes,11111213-0,Matemáticas,MAT103,17 de septiembre de 2025
Sofía,Carrasco Palma,11111214-9,Física,FIS104,17 de septiembre de 2025
Gaspar,Orellana Sáez,11111215-7,Biología,BIO105,17 de septiembre de 2025
Elena,Araya Salazar,11111216-5,Matemáticas,MAT106,17 de septiembre de 2025
Raimundo,Sáez Cortés,11111217-3,Física,FIS107,17 de septiembre de 2025
Josefa,Salazar Silva,11111218-1,Biología,BIO108,17 de septiembre de 2025
Benjamín,Cortés Morales,11111219-K,Matemáticas,MAT109,17 de septiembre de 2025
Mariana,Silva Vega,11111220-8,Física,FIS110,17 de septiembre de 2025
Thiago,Morales Castillo,11111221-6,Biología,BIO111,17 de septiembre de 2025
Ignacia,Vega Ramírez,11111222-4,Matemáticas,MAT112,17 de septiembre de 2025
Pablo,Castillo Hernández,11111223-2,Física,FIS113,17 de septiembre de 2025
Valeria,Reyes Torres,11111224-0,Biología,BIO114,17 de septiembre de 2025
Hernán,Palma Vargas,11111225-9,Matemáticas,MAT115,17 de septiembre de 2025
Loreto,Pinto Campos,11111226-7,Física,FIS116,17 de septiembre de 2025
Nicolás,Pizarro Reyes,11111227-5,Biología,BIO117,17 de septiembre de 2025
Amparo,Carrasco Palma,11111228-3,Matemáticas,MAT118,17 de septiembre de 2025
Tadeo,Orellana Sáez,11111229-1,Física,FIS119,17 de septiembre de 2025
Emilia,Araya Salazar,11111230-K,Biología,BIO120,17 de septiembre de 2025
Benjamín,Sáez Cortés,11111231-8,Matemáticas,MAT121,17 de septiembre de 2025
Lucía,Salazar Silva,11111232-6,Física,FIS122,17 de septiembre de 2025
Ignacio,Cortés Morales,11111233-4,Biología,BIO123,17 de septiembre de 2025
Josefina,Silva Vega,11111234-2,Matemáticas,MAT124,17 de septiembre de 2025
Cristóbal,Morales Castillo,11111235-0,Física,FIS125,17 de septiembre de 2025
Amanda,Vega Ramírez,11111236-9,Biología,BIO126,17 de septiembre de 2025
Jorge,Castillo Hernández,11111237-7,Matemáticas,MAT127,17 de septiembre de 2025
Florencia,Reyes Torres,11111238-5,Física,FIS128,17 de septiembre de 2025
